postcodes,num,name
AL1,1241,AL
AL2,650,AL
AL3,782,AL
AL4,660,AL
AL6,2,AL
B10,17,B1
B16,3,B1
B18,7,B1
B25,28,B2
B26,17,B2
B31,34,B3
B33,30,B3
B34,6,B3
B36,3,B3
B38,1,B3
B46,16,B4
B47,7,B4
B49,305,B4
B50,15,B5
B62,1,B6
B63,121,B6
B64,33,B6
B65,1,B6
B66,2,B6
B76,5,B7
B77,27,B7
B78,144,B7
B79,21,B7
B80,238,B8
B93,3,B9
B94,141,B9
B95,171,B9
B96,24,B9
B97,12,B9
B98,58,B9
BA1,535,BA
BA14,113,BA
BA15,756,BA
BA2,809,BA
BA3,12,BA
BB1,19,BB
BB10,27,BB
BB12,20,BB
BB2,103,BB
BB3,20,BB
BB4,7,BB
BB5,1289,BB
BB6,2,BB
BB8,64,BB
BB9,721,BB
BD11,67,BD
BD12,41,BD
BD15,1,BD
BD18,6,BD
BD19,936,BD
BD2,1,BD
BD8,2,BD
BD9,5,BD
BH11,1,BH
BH12,6,BH
BH15,56,BH
BH16,2,BH
BH17,209,BH
BH18,384,BH
BH21,271,BH
BH22,3,BH
BL0,4,BL
BL3,6,BL
BL4,57,BL
BL5,2,BL
BL8,2,BL
BL9,20,BL
BN1,165,BN
BN10,2,BN
BN11,127,BN
BN12,373,BN
BN13,1587,BN
BN14,1128,BN
BN16,186,BN
BN17,100,BN
BN2,89,BN
BN22,2,BN
BN23,172,BN
BN24,5,BN
BN27,7,BN
BN3,88,BN
BN41,79,BN
BN42,9,BN
BN45,2,BN
BN5,105,BN
BN6,168,BN
BN7,30,BN
BN8,44,BN
BR1,7,BR
BR2,13,BR
BR3,88,BR
BR4,204,BR
BR5,70,BR
BR7,43,BR
BR8,49,BR
BS14,34,BS
BS15,95,BS
BS16,877,BS
BS24,1,BS
BS26,12,BS
BS27,14,BS
BS28,4,BS
BS3,24,BS
BS30,5,BS
BS34,1,BS
BS36,33,BS
BS39,44,BS
BS4,354,BS
BS40,12,BS
BS7,62,BS
CB25,1,CB
CB6,5,CB
CB7,96,CB
CB8,2,CB
CH1,4,CH
CH2,17,CH
CH4,143,CH
CH41,9,CH
CH42,110,CH
CH43,13,CH
CH62,784,CH
CH63,247,CH
CM0,28,CM
CM1,48,CM
CM11,1,CM
CM13,276,CM
CM14,170,CM
CM15,359,CM
CM2,845,CM
CM3,140,CM
CM4,48,CM
CM9,4,CM
CR0,59,CR
CR4,10,CR
CR7,58,CR
CT10,67,CT
CT13,4,CT
CT15,2,CT
CT3,32,CT
CV1,11,CV
CV10,480,CV
CV11,409,CV
CV12,256,CV
CV13,19,CV
CV2,8,CV
CV21,22,CV
CV22,15,CV
CV23,10,CV
CV3,26,CV
CV32,5,CV
CV33,19,CV
CV34,4,CV
CV35,195,CV
CV37,29,CV
CV4,195,CV
CV47,106,CV
CV5,237,CV
CV6,25,CV
CV7,75,CV
CV9,177,CV
DA1,100,DA
DA10,1,DA
DA14,61,DA
DA15,7,DA
DA16,77,DA
DA17,6,DA
